"",ML2,ML1
Diabetes,-0.12,0.837
Obesity,0.168,0.546
Hypertension,0.274,0.5
Disorders_of_lipid_metabolism,0.317,0.445
Other_male_genital_disorders,0.133,0.376
Thyroid_disorders,0.227,0.265
Sexual_disorders,0.341,0.218
Alcohol-related_disorders,0.199,0.187
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.365,0.14
Osteoarthritis,0.362,0.126
Depression_and_Mood_disorders,0.464,0.111
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.338,0.1
Vision_defects,0.323,0.06
Headache__including_migraine,0.342,0.059
Esophageal_disorders,0.37,0.042
Anxiety_disorders,0.58,-0.032
Allergic_rhinitis,0.487,-0.134
Asthma,0.464,-0.177
