"",ML11,ML15,ML14,ML13,ML16,ML6,ML7,ML18,ML5,ML4,ML19,ML2,ML17,ML3,ML8,ML12,ML10,ML9,ML1
Chronic_kidney_disease,0,0.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.331,0,0,0,0,0,0,0,0.343,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0.338,0,0,0.389,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0.385,0,0,0,0.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0.974,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0.941,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0.467,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0.338,0,0,0,0.434,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0.961,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0.361,0,0,0,0,0,0,0,0
Conduction_disorders,0.315,0,0,0,0,0,0,0,0,0,0.336,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0.311,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0.339,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.651,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.501,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
