"",ML9,ML7,ML2,ML11,ML10,ML4,ML5,ML8,ML13,ML6,ML1,ML3,ML12
Menopausal_disorders,0,0.912,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0.339,0,0,0,0,0,0,0.303,0,0,0,0
Cardiac_dysrhythmias,0,0,0.973,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.412,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0.521,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0.518,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0.405,0,0,0,0.386,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0.385,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0.331,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0.325,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0.312,0,0,0,0,0,0,0,0,0
Adictions,0,0,0,0,0.949,0,0,0,0,0,0,0,0
Hepatitis,0,0,0,0,0.494,0,0,0,0,0,0,0,0.307
Anxiety_disorders,0.412,0,0,0,0.314,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0.966,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0.981,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0,0,0.972,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0.54,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0.333,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0.301,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0.999,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0.996,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0,0,0.984,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0.642
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.425
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0.447,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.491,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.796,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.442,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.342,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0
