"",ML8,ML9,ML7,ML6,ML3,ML1,ML5,ML2,ML4
Disorders_of_lipid_metabolism,0,0.606,0,0,0,0,0,0,0
Hypertension,0.321,0.548,0,0,0,0,0,0,0
Diabetes,0,0.509,0,0,0.322,0,0,0,0
Sexual_disorders,0,0.459,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.449,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0.423,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.404,0,0,0,0,0,0,0
Obesity,0,0.401,0,0,0,0,0,0,0
Vision_defects,0,0.346,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0.335,0,0,0,0,0,0,0.303
Chronic_kidney_disease,0.397,0.32,0,0,0,0,0,0,0
Allergic_rhinitis,0,0.317,0,0,0,0,0,0,0
Headache__including_migraine,0,0.31,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0.952,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0.411,0,0,0,0,0,0
Urinary_incontinence,0,0,0.389,0,0.344,0,0,0,0
Depression_and_Mood_disorders,0,0,0.314,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.969,0,0,0,0,0
Osteoporosis,0,0,0,0.34,0,0,0,0,0
Ischemic_heart_disease,0.32,0,0,0.306,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0.961,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0.944,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0.348,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0.965,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0.332,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0.99,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0.972
Anxiety_disorders,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0.694,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.495,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.57,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.667,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0
Glaucoma,0.488,0,0,0,0,0,0,0,0
Gout,0.367,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0.311,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0.356,0,0,0,0,0,0,0,0
