"",ML3,ML12,ML14,ML9,ML11,ML13,ML2,ML8,ML7,ML6,ML5,ML4,ML10,ML1
Menstrual_disorders,0,0.687,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0.486,0.307,0,0,0,0.375,0,0,0,0,0,0,0
Menopausal_disorders,0,0.409,0,0,0,0,0.367,0,0,0,0,0,0,0
Acquired_foot_deformities,0.318,0.394,0,0,0,0,0,0,0,0,0,0,0,0.334
Myodesopsia_and_other_eye_disorders,0.431,0.36,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.3,0,0,0,0,0,0.477,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.762,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0.391,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.931,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0.591,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0.987,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0.812,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0.529,0,0,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0,0.945,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0.359,0,0,0,0,0,0,0
Atopic_dermatitis,0.375,0,0,0,0,0,0.333,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0.967,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.975,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0.324,0,0,0,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0,0.969,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0,0,0.815,0
Anxiety_disorders,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.346
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0
