"",ML4,ML3,ML1,ML2
Chronic_kidney_disease,0,0.771,0,0
Hypertension,0,0.749,0,0
Congestive_heart_failure__nonhypertensive,0,0.685,0,0
Diabetes,0,0.598,0,0
Gout,0,0.441,0,0
Obesity,0,0.425,0,0.354
Ischemic_heart_disease,0,0.397,0,0
Coagulation_and_hemorrhagic_disorders,0,0.379,0,0
Disorders_of_lipid_metabolism,0.374,0.308,0,0
Adictions,0,0,0.977,0
Hepatitis,0,0,0.486,0
Schizophrenia_and_other_psychotic_disorders,0,0,0,0.977
Acute_cerebrovascular_disease,0,0,0,0
Alcohol-related_disorders,0,0,0,0
Allergic_rhinitis,0.458,0,0,0
Anxiety_disorders,0.45,0,0,0
Asthma,0.363,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.426,0,0,0
Depression_and_Mood_disorders,0.431,0,0,0
Epilepsy__convulsions,0,0,0,0
Esophageal_disorders,0.319,0,0,0
Headache__including_migraine,0.427,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.344,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.456,0,0,0
Miscellaneous_mental_health_disorders,0.479,0,0,0
Neoplasms,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.31,0,0,0
Osteoarthritis,0,0,0,0
Other_male_genital_disorders,0.415,0,0,0
Psoriasis_and_other_inflammatory,0.397,0,0,0
Sexual_disorders,0.369,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.467,0,0,0
Thyroid_disorders,0.304,0,0,0
Vision_defects,0,0,0,0
